cell_x_m,Y_H2,Y_O2,Y_N2,sumY
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
33.75,0.05067825665922074,1.1600663330943785e-15,0.9493217433407781,1.0
35.25,0.049464731492746356,1.1828554304358962e-15,0.9505352685072525,1.0
36.75,0.048273960746961164,1.2052172167315777e-15,0.9517260392530377,1.0
38.25,0.04710651709878807,1.2275701176227001e-15,0.9528934829012108,1.0
39.75,0.04597430216343351,1.254194020686006e-15,0.9540256978365652,1.0
41.25,0.044870169987333966,1.2829835263044621e-15,0.9551298300126647,1.0
42.75,0.0437856022851553,1.3112629013932053e-15,0.9562143977148434,1.0
44.25,0.042720083619667344,1.3390455856321528e-15,0.9572799163803313,1.0
45.75,0.04167311650200393,1.366344550709675e-15,0.9583268834979948,1.0
47.25,0.040644220617166105,1.3931723205170771e-15,0.9593557793828325,1.0
0.75,0.08494180987601473,7.692008509955764e-16,0.9150581901239845,1.0
2.25,0.08301048676881796,7.836278099349199e-16,0.9169895132311813,1.0
3.75,0.08112453555931846,7.977158413780619e-16,0.9188754644406808,1.0
5.25,0.07928237595102712,8.114767501195885e-16,0.9207176240489721,1.0
6.75,0.07748250019385222,8.249217990334245e-16,0.922517499806147,1.0
8.25,0.0757222669846766,8.383073609298957e-16,0.9242777330153226,1.0
9.75,0.07398790726149747,8.542121857415069e-16,0.9260120927385017,1.0
11.25,0.07228475904374247,8.71348226411708e-16,0.9277152409562567,1.0
12.75,0.07061946994238406,8.881033516973608e-16,0.929380530057615,1.0
14.25,0.06899079148358928,9.044901229822327e-16,0.9310092085164098,1.0
15.75,0.06739752949096013,9.205205553423521e-16,0.932602470509039,1.0
17.25,0.06583854116546718,9.362061469259372e-16,0.9341614588345318,1.0
18.75,0.06431220607024207,9.524169856182616e-16,0.935687793929757,1.0
20.25,0.06281561522378415,9.72260665372573e-16,0.9371843847762149,1.0
21.75,0.061349901528309596,9.92308307418674e-16,0.9386500984716895,1.0
23.25,0.05991448260577071,1.0119415856189858e-15,0.9400855173942283,1.0
24.75,0.05850842882143157,1.031173215270143e-15,0.9414915711785674,1.0
26.25,0.05713084819151058,1.0500153966890426e-15,0.9428691518084884,1.0
27.75,0.05578088449616939,1.068479841022878e-15,0.9442191155038294,0.9999999999999999
29.25,0.05446207335705761,1.08900907822097e-15,0.9455379266429413,1.0
30.75,0.05317622996189579,1.1131562579481318e-15,0.9468237700381031,1.0
32.25,0.05191519475897405,1.1368375583318357e-15,0.9480848052410249,1.0
